record_id,evidence_date,evidence_date_descriptive,large_area,small_area,scientific_name,common_name,id_quality,evidence_type,collision_evidence,strike_result,other_info,vessel_type,scientific_name_clean,species_status,species_analysis_name,id_quality_clean,analysis_confidence,evidence_type_clean,evidence_context,strike_result_clean,outcome_known,fatal_outcome,fatal_label,vessel_type_clean,vessel_category,large_area_clean,ocean_basin,date_description_clean,date_precision,year_start,year_end,analysis_year,year_source,analysis_decade,include_species_frequency,include_species_fatality,include_confirmed_species,include_vessel_outcome,include_region_outcome
127,1984-08-01T00:00:00Z,August 1984,Atlantic Ocean - North,"Stellwagen Bank NMS, Massachusetts, East coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,"whale surfaced immediately in front of vessel, not resighted after collision",Severe external visible injury,Jensen and Silber 2003. Large whale ship strike database.,Whale watching vessel,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Whale-watching vessel,Research or whale-watching,Atlantic Ocean - North,Atlantic Ocean,august 1984,Exact date,1984,1984,1984,Exact date,1980s,TRUE,TRUE,TRUE,TRUE,TRUE
128,1984-03-07T00:00:00Z,NA,Atlantic Ocean - North,"Baltimore, Maryland, East coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,"brought into port on bow of ship, bruising evident",Death,Jensen and Silber 2003. Large whale ship strike database.,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1984,1984,1984,Exact date,1980s,TRUE,TRUE,TRUE,FALSE,TRUE
129,1982-08-02T00:00:00Z,NA,Atlantic Ocean - North,"Elizabeth City, East coast, USA",Balaenoptera physalus,fin whale,Confirmed,Collision,"brought in on bow of ship, hit off Boston , MA",Death,Jensen and Silber 2003. Large whale ship strike database.,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1982,1982,1982,Exact date,1980s,TRUE,TRUE,TRUE,FALSE,TRUE
130,1981-03-31T00:00:00Z,NA,Atlantic Ocean - North,"Atlantic City, New Jersey, East coast, USA",Balaenoptera physalus,fin whale,Confirmed,Collision,brought in port on bow of ship,Death,Jensen and Silber 2003. Large whale ship strike database.,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1981,1981,1981,Exact date,1980s,TRUE,TRUE,TRUE,FALSE,TRUE
131,1987-10-18T00:00:00Z,NA,Atlantic Ocean - North,"Baltimore, Maryland, East coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,brought into port on bow,Death,Jensen and Silber 2003. Large whale ship strike database,Cruise Ship,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Cruise ship,Passenger or ferry,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1987,1987,1987,Exact date,1980s,TRUE,TRUE,TRUE,TRUE,TRUE
132,NA,winter 1972,Atlantic Ocean - North,"approx 97 km of Boston, Massachusetts, East coast USA",Eubalaena glacialis,North Atlantic right whale,Unconfirmed,Collision,whale drapped across ship's bow,Death,Jensen and Silber 2003. Large whale ship strike database,Container ship,Eubalaena glacialis,Identified to species,Eubalaena glacialis,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Atlantic Ocean - North,Atlantic Ocean,winter 1972,Descriptive year,1972,1972,1972,Descriptive date,1970s,TRUE,TRUE,FALSE,TRUE,TRUE
133,NA,August 1952,Atlantic Ocean - North,"139 km off Montauk, Long Island, New York, East coast USA",NA,Unidentified large whale,Indeterminate,Collision,"whale seen off port, submerged a few seconds before impact",Not known,Laist et al. 2001. Jensen and Silber 2003. Whale approx 15 m,Naval vessel,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Naval vessel,Government or naval,Atlantic Ocean - North,Atlantic Ocean,august 1952,Descriptive year,1952,1952,1952,Descriptive date,1950s,FALSE,FALSE,FALSE,FALSE,FALSE
134,NA,1885,Atlantic Ocean - North,"32 km of Nantuket, Massachusetts, East coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"vessel's port bow collided w/whale, whle then seen rolling as if in distress",Not known,Laist et al. 2001.,Pilot boat,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Pilot boat,Other or industrial,Atlantic Ocean - North,Atlantic Ocean,1885,Descriptive year,1885,1885,1885,Descriptive date,1880s,FALSE,FALSE,FALSE,FALSE,FALSE
135,1997-09-27T00:00:00Z,NA,Atlantic Ocean - North,"St Lawrence Estuary, Eastern Canada",Megaptera novaeangliae,humpback whale,Confirmed,Collision,vessel struck humpback after it surfaced off bow,Indeterminate visible injury,Jensen and Silber 2003. Large whale ship strike database.,Whale whatching vessel,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Whale-watching vessel,Research or whale-watching,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1997,1997,1997,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
136,1993-07-29T00:00:00Z,NA,Atlantic Ocean - North,"Bay of Fundy, Eastern Canada",Balaenoptera physalus,fin whale,Confirmed,Collision,whale surfaced and struck bow of vessel,Indeterminate visible injury,Jensen and Silber 2003. Large whale ship strike database. Whale surfaced and struck bow of whale watch vessel,Whale whatching vessel,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Whale-watching vessel,Research or whale-watching,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1993,1993,1993,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
137,1992-06-20T00:00:00Z,NA,Atlantic Ocean - North,"Tadoussac, St Lawrence Estuary, Eastern Canada",Balaenoptera physalus,fin whale,Confirmed,Collision,vessel collided with whale while whale watching,Indeterminate visible injury,Jensen and Silber 2003. Large whale ship strike database. Vessel collided with whale while whale-watching.,Whale whatching vessel,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Whale-watching vessel,Research or whale-watching,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1992,1992,1992,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
138,NA,July 1967 (day not known),Atlantic Ocean - North,"South of Halifax, Eastern Canada",Unidentified cetacean,NA,Indeterminate,Collision,"whale stuck on bow after vessel speed registered too slow, whale sank when vessel backed down to remove it.",Death,"Jensen and Silber 2003. Large whale ship strike database. Unknown species stuck on bow, navy.",Not known,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,july 1967 (day not known),Descriptive year,1967,1967,1967,Descriptive date,1960s,FALSE,FALSE,FALSE,FALSE,TRUE
139,2002-10-02T00:00:00Z,NA,Pacific Ocean - North,"Cherry Point, Washington, US West coast",Balaenoptera physalus,fin whale,Confirmed,Collision,NA,Death,"Jensen and Silber 2003. Fin whale, whale measured 18.5m",Oil tanker,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Oil tanker,Cargo or tanker,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
140,2002-08-09T00:00:00Z,NA,Pacific Ocean - North,"Elliot Bay, Seattle, Washington, US West Coast",Balaenoptera physalus,fin whale,Confirmed,Collision,"whale brought in on bow of ship, gored, strike was pre-mortem",Death,Jensen and Silber 2003. Finback on bow container ship. Whale measured 17 m,Container ship,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
141,2002-07-17T00:00:00Z,NA,Pacific Ocean - North,"8 mi NW of Point Benito, San Fran, California, West coast USA",Balaenoptera musculus,blue whale,Confirmed,Collision,"four dorsal propeller gashes, animal eviscarated by encounter",Death,"Jensen and Silber 2003. Blue whale, propeller gashes, eviscerated. Whale measured 22-25m",Not known,Balaenoptera musculus,Identified to species,Balaenoptera musculus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
142,2001-08-20T00:00:00Z,NA,Pacific Ocean - North,"Channel Islands, 25 nm off San Clemente Is, California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"whale observed off starboard, shudder felt",Indeterminate visible injury,"Jensen and Silber 2001. Collision with navy vessel, unknown species.",Naval vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,FALSE,FALSE,FALSE,TRUE,TRUE
143,2001-08-15T00:00:00Z,NA,Pacific Ocean - North,"Channel Is. Off San Clemente Is, California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"whale rolled over after collision, disappeared under ship",Indeterminate visible injury,"Jensen and Silber 2003. Navy vessel, blood observed, unknown species.",Naval vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,FALSE,FALSE,FALSE,TRUE,TRUE
144,2001-07-28T00:00:00Z,NA,Pacific Ocean - North,"10 mi off Solana Beach, San Diego, California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"prior to strike, whale observed 30 yds off bow, after strike, whale surfaced off port blow and swam away, no blood observed",Not known,"Jensen and Silber 2003. Navy vessel, unknown species, alive after collision, no blood.",Naval vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,FALSE,FALSE,FALSE,FALSE,FALSE
145,2001-01-09T00:00:00Z,NA,Pacific Ocean - North,"3 mi offshore Montana de Oro State Park, California, West coast USA",Eschrichtius robustus,gray whale,NA,Collision,"animal ighted trashing at surface, flukes completely svered, final status unknown",Severe external visible injury,"Jensen and Silber 2003. Gray whale calf, flukes severed, probably died. 3.6m length calf",Not known,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Missing,Not confirmed or missing,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,TRUE,TRUE,FALSE,FALSE,TRUE
146,1999-05-05T00:00:00Z,NA,Pacific Ocean - North,"3 nm offshore, Davenport, California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"ship hit whale and it breached 2-3 times, no blood observed",Not known,"Jensen and Silber 2003. Unknown species, US coastguard vessel, no blood.",US Coast guard,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,US Coast Guard vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,FALSE,FALSE,FALSE,FALSE,FALSE
147,1998-04-28T00:00:00Z,NA,Pacific Ocean - North,"En route to San Diego, California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,"whale sighted at 200 yds, 10 min later ship shuddered, whale observed draped aound upper bow stem then sank",Death,"Jensen and Silber 2003. Gray whale, juvenile, hit by Navy vessel, dead, west coast US, California, April 1998.",Naval vessel,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1998,1998,1998,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
148,1998-04-24T00:00:00Z,NA,Pacific Ocean - North,"California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,"whale sighted 1nm off bow, 1.5 hrs later found wrapped around bow, ship back down, whale sank.",Death,"Jensen and Silber 2003. Gray whale, juvenile, hit by Navy vessel after being sighted 1.5 hrs before.",Naval vessel,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1998,1998,1998,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
149,1998-01-02T00:00:00Z,NA,Pacific Ocean - North,"San Pedro, LA county, California, West coast of USA",Eschrichtius robustus,gray whale,Confirmed,Collision,"collision resulted in six 1-ft gashes in animal'side, final sttus unknown",Severe external visible injury,"Jensen and Silber 2003. Gray whale, hit by US coastguard vessel, severely injured.",US Coast Guard,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,US Coast Guard vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1998,1998,1998,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
150,1999-01-23T00:00:00Z,NA,Pacific Ocean - North,"Off Coronado Is., 5 mi from West End, California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,animal appeared stunned after collision and swam away,Not known,"Jensen and Silber 2003. Gray whale, juvenile. Stunned but alive after collision, swam away. Eyewitnessed, whale about 7.6 m",Not known,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
151,1997-08-31T00:00:00Z,NA,Pacific Ocean - North,"Dixon Entrance, West coast Canada",Eschrichtius robustus,gray whale,Indeterminate,Collision,"called in by passenger, audible sound of boat strike as whale surfaced directly in path of vessel",Not known,Jensen and Silber 2003. Unknown species hit by cruise ship. Canadian waters. Field ID 97045,NA,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1997,1997,1997,Exact date,1990s,TRUE,FALSE,FALSE,FALSE,FALSE
152,1997-02-15T00:00:00Z,NA,Pacific Ocean - North,"11 mi off Catalina Island, California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,blood in water after collision,Indeterminate visible injury,"Jensen and Silber 2003. Unknown species hit by inflatable boat, blood seen in water.",Rigid inlatable/inflatable,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Rigid inflatable/inflatable,Recreational or small craft,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1997,1997,1997,Exact date,1990s,FALSE,FALSE,FALSE,TRUE,TRUE
153,1997-02-11T00:00:00Z,NA,Pacific Ocean - North,"LA Harbor, California, West coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,"carcass brought on bow, head and tail missing",Death,"Jensen and Silber 2003. Fin whale, immature, on bow, freighter or container, west coast US, California, November 1997. Field ID JEH 483, est 7.6 m.",Freighter or container,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Freighter or container,Cargo or tanker,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1997,1997,1997,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
154,1996-09-17T00:00:00Z,NA,Pacific Ocean - North,"Huntington Beach, California, West coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,brought into harbour on bow of freighter,Death,"Jensen and Silber 2003. Fin whale, 14.5m, brought into harbour on bow of freighter, September 1996. Whale estimated 14.5 m",Freighter,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Freighter,Cargo or tanker,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1996,1996,1996,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
155,1995-03-07T00:00:00Z,NA,Pacific Ocean - North,"2.5 mi SE of Point Loma, San Diego, California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,eyewitness account: animal hit in tail stock area,Not known,"Jensen and Silber 2003. Gray whale hit in tail region by small private vessel, no blood",Motor yacht (unknown size),Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Motor yacht (unknown size),Recreational or small craft,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1995,1995,1995,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
156,1995-01-02T00:00:00Z,NA,Pacific Ocean - North,"Off Anacapa Is. Channel Is., California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,"eyewitnesse account, whale initially exhibited erratic behavior when hit then swam awy",Not known,"Jensen and Silber 2003. Gray whale, whale watch vessel, whale alive, no blood",Submarine,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Submarine,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1995,1995,1995,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
157,1993-04-06T00:00:00Z,NA,Pacific Ocean - North,"En route from San Diego to Dana Pt, California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,"whale received 7 x 3-4 in slice along back, circled after collision, bleeding profusely, rolled over, stopped moving",Severe external visible injury,"Jensen and Silber 2003. Gray whale, Navy, severely injured.",Naval vessel,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1993,1993,1993,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
158,1991-08-12T00:00:00Z,NA,Pacific Ocean - North,"LA harbor, California, West coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,whale hit by ship north of LA harbor and brought in draped across bow,Death,"Jensen and Silber 2003. Finback, cruise ship (American President), dead, brought in Los Angeles port draped around bow, west coast US, August 1991. Whale length 13.5 m",NA,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1991,1991,1991,Exact date,1990s,TRUE,TRUE,TRUE,FALSE,TRUE
159,1991-08-06T00:00:00Z,NA,Pacific Ocean - North,"San Diego County, California, West coast USA",Eschrichtius robustus,gray whale,Confirmed,Collision,"animal suffered 7 x3x4 in gash on dorsal surface from propeller, bled profuesely after collision, then floated belly up.",Death,"Jensen and Silber 2003. Gray whale, hit by propeller, bled and died.",Naval vessel,Eschrichtius robustus,Identified to species,Eschrichtius robustus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1991,1991,1991,Exact date,1990s,TRUE,TRUE,TRUE,TRUE,TRUE
160,1990-10-15T00:00:00Z,NA,Pacific Ocean - North,"Open waters of San Clemente Is. California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"vessel collided with whale, large blood pool observed",Severe external visible injury,"Jensen and Silber 2003. Unknown species, hit by navy boat, probably died, lots of blood.",Naval vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1990,1990,1990,Exact date,1990s,FALSE,FALSE,FALSE,TRUE,TRUE
161,1990-05-31T00:00:00Z,NA,Pacific Ocean - North,"Open waters S of Clemente Island, Channel Is. California, West coast USA",Unidentified cetacean,NA,Indeterminate,Collision,"ship struck left side of whale, large portion of whale's remains floated at surface, ten sank",Death,"Silber and Jensen 2003. Unknown species hit by navy vessel, died.",Naval vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1990,1990,1990,Exact date,1990s,FALSE,FALSE,FALSE,TRUE,TRUE
162,NA,late 1980's,Pacific Ocean - North,"Seattle, Washington, West coast USA",Balaenoptera physalus,fin whale,Confirmed,Collision,ship en route from Japan arrived in harbor w/whale drapped across bow,Death,"Silber and Jensen 2003. Finback, on bow of container ship from Japan, Seattle, west coast, late 1980s. Whale estimated 20 m",Container ship,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Pacific Ocean - North,Pacific Ocean,late 1980's,Decade only,1980,1989,NA,No single usable year,NA,TRUE,TRUE,TRUE,TRUE,TRUE
163,1989-06-11T00:00:00Z,NA,Pacific Ocean - North,"Tacoma, Washington, West coast USA",Balaenoptera musculus,blue whale,Confirmed,Collision,whale drapped across bow of ship arriving from Southern California,Death,"Jensen and Silber 2003. Blue whale draped around bow of container ship, west coast USA, November 1989.",Container ship,Balaenoptera musculus,Identified to species,Balaenoptera musculus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1989,1989,1989,Exact date,1980s,TRUE,TRUE,TRUE,TRUE,TRUE
164,1987-08-03T00:00:00Z,NA,Pacific Ocean - North,"California, West coast USA",Balaenoptera musculus,blue whale,Confirmed,Collision,hit in St Barbara Ch. Pushed into harbour,Death,"Jensen and Silber 2003. Blue whale, female juvenile, hit by container ship in Santa Barbara Channel, California, August 1987",NA,Balaenoptera musculus,Identified to species,Balaenoptera musculus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1987,1987,1987,Exact date,1980s,TRUE,TRUE,TRUE,FALSE,TRUE
165,1994-08-08T00:00:00Z,NA,Pacific Ocean - South,northern lagoon of New Caledonia,NA,Unidentified large whale,Indeterminate,Collision,See Borsa (2004),Not known,"Large whale hit by research vessel in New Caledonia, SW Pacific (Borsa, 2006)",Fishing vessel (< 300grt),NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Fishing vessel (<300 GRT),Fishing or whaling,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1994,1994,1994,Exact date,1990s,FALSE,FALSE,FALSE,FALSE,FALSE
166,NA,March 1997,Pacific Ocean - South,"Canal Woodin, New Caledonia",NA,Unidentified large whale,Indeterminate,Collision,See Borsa (2006),Severe external visible injury,"Unidentified whale hit by catamaran in SW Pacific, New Caledonia (Borsa 2006)",Motor yacht (>25m),NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Motor yacht (>25m),Recreational or small craft,Pacific Ocean - South,Pacific Ocean,march 1997,Descriptive year,1997,1997,1997,Descriptive date,1990s,FALSE,FALSE,FALSE,TRUE,TRUE
167,NA,February 1998,Pacific Ocean - South,"Passe de la Sarcelle, New Caledonia",NA,Unidentified large whale,Indeterminate,Collision,See Borsa (2006),Severe external visible injury,"Unidentified whale hit by catamaran, SW Pacific, New Caledonia",Motor yacht (>25m),NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Motor yacht (>25m),Recreational or small craft,Pacific Ocean - South,Pacific Ocean,february 1998,Descriptive year,1998,1998,1998,Descriptive date,1990s,FALSE,FALSE,FALSE,TRUE,TRUE
168,NA,August 2002,Pacific Ocean - South,"Southwestern Lagoon, New Caledonia",Megaptera novaeangliae,humpback whale,Confirmed,Collision,See Borsa (2006),Not known,"Humpback whale hit by boat, SW Pacific, New Caledonia. See Borsa (2006)",Sailing vessel,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Sailing vessel,Recreational or small craft,Pacific Ocean - South,Pacific Ocean,august 2002,Descriptive year,2002,2002,2002,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
169,NA,July 2001,Indian Ocean,"Cape Jervis, Southern Australia",Eubalaena australis,southern right whale,Confirmed,Collision,See Kemper et al. (2005),Death,Southern right whale hit by ferry in Southern Australia. Kemper et al. (2005),Ferry,Eubalaena australis,Identified to species,Eubalaena australis,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Ferry,Passenger or ferry,Indian Ocean,Indian Ocean,july 2001,Descriptive year,2001,2001,2001,Descriptive date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
170,1965-12-29T00:00:00Z,NA,Pacific Ocean - North,"200 km of San Francisco, California, West coast USA",Physeter macrocephalus,sperm whale,Confirmed,Collision,"vessel approached cow/calf pair, female dove and was hit while surfacing, thrashing whale see in boat's wake",Severe external visible injury,"Jensen and Silber 2003. Sperm whale cow and calf, female severely hit, whale catcher boat. California, USA.",Whale catcher boat,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Whale catcher boat,Fishing or whaling,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1965,1965,1965,Exact date,1960s,TRUE,TRUE,TRUE,TRUE,TRUE
